Episode : 653 / 10000, Score : 600, Max Tile : 256, Average: 587.7, Loss : 0.002
Episode : 654 / 10000, Score : 596, Max Tile : 256, Average: 587.9, Loss : 0.004
Episode : 655 / 10000, Score : 598, Max Tile : 256, Average: 588.0, Loss : 0.002
Episode : 656 / 10000, Score : 596, Max Tile : 256, Average: 588.1, Loss : 0.003
Episode : 657 / 10000, Score : 606, Max Tile : 256, Average: 588.5, Loss : 0.003
Episode : 658 / 10000, Score : 600, Max Tile : 256, Average: 588.7, Loss : 0.000
Episode : 659 / 10000, Score : 598, Max Tile : 256, Average: 588.9, Loss : 0.004
Episode : 660 / 10000, Score : 480, Max Tile : 128, Average: 588.0, Loss : 0.005
Episode : 661 / 10000, Score : 558, Max Tile : 256, Average: 587.8, Loss : 0.004
Episode : 662 / 10000, Score : 590, Max Tile : 256, Average: 587.9, Loss : 0.004
Episode : 663 / 10000, Score : 592, Max Tile : 256, Average: 588.1, Loss : 0.006
Episode : 664 / 10000, Score : 588, Max Tile : 256, Average: 588.2, Loss : 0.005
Episode : 665 / 10000, Score : 588, Max Tile : 256, Average: 588.2, Loss : 0.005
Episode : 666 / 10000, Score : 584, Max Tile : 256, Average: 588.3, Loss : 0.006
Episode : 667 / 10000, Score : 586, Max Tile : 256, Average: 588.4, Loss : 0.003
Episode : 668 / 10000, Score : 594, Max Tile : 256, Average: 588.6, Loss : 0.003
Episode : 669 / 10000, Score : 594, Max Tile : 256, Average: 588.8, Loss : 0.003
Episode : 670 / 10000, Score : 598, Max Tile : 256, Average: 589.0, Loss : 0.005
Episode : 671 / 10000, Score : 600, Max Tile : 256, Average: 589.2, Loss : 0.004
Episode : 672 / 10000, Score : 594, Max Tile : 256, Average: 589.4, Loss : 0.004
Episode : 673 / 10000, Score : 594, Max Tile : 256, Average: 589.6, Loss : 0.003
Episode : 674 / 10000, Score : 594, Max Tile : 256, Average: 589.8, Loss : 0.002
Episode : 675 / 10000, Score : 634, Max Tile : 512, Average: 590.1, Loss : 0.002
